,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,0,0.36,0.32059184821217146,0.0,100,"{""Business"": 9, ""Sports"": 5, ""Technology"": 5, ""World"": 81}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,amazon_counterfactual_en,0,0,0.54,0.38666666666666666,0.0,100,"{""counterfactual"": 40, ""not counterfactual"": 60}","{""counterfactual"": 10, ""not counterfactual"": 90}"
2,amazon_massive_scenario,0,0,0.57,0.4557980599647266,0.0,100,"{""alarm"": 5, ""audio"": 5, ""calendar"": 7, ""cooking"": 5, ""datetime"": 1, ""email"": 14, ""general"": 8, ""iot"": 22, ""music"": 2, ""news"": 6, ""play"": 12, ""qa"": 2, ""transport"": 2, ""weather"": 9}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
3,app_reviews,0,0,0.61,0.2850877192982456,0.0,100,"{""five"": 55, ""four"": 12, ""one"": 33}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
4,beaver_tails,0,0,0.36,0.28698752228163993,0.0,100,"{""no"": 4, ""yes"": 96}","{""no"": 64, ""yes"": 36}"
5,boolq,0,0,0.44,0.4288045695634435,0.0,100,"{""no"": 72, ""yes"": 28}","{""no"": 42, ""yes"": 58}"
6,brag_action,0,0,0.24,0.2145514675485738,0.0,100,"{""bragging"": 79, ""not bragging"": 21}","{""bragging"": 3, ""not bragging"": 97}"
7,circa,0,0,0.69,0.5689055764149632,0.0,100,"{""no"": 16, ""yes"": 84}","{""no"": 31, ""yes"": 69}"
8,clickbait,0,0,0.63,0.5713127099988413,0.0,100,"{""no"": 22, ""yes"": 78}","{""no"": 41, ""yes"": 59}"
9,climate_commitments_actions,0,0,0.56,0.3969298245614035,0.0,100,"{""no"": 88, ""yes"": 12}","{""no"": 64, ""yes"": 36}"
10,climate_fever,0,0,0.33,0.12406015037593984,0.0,100,"{""not enough info"": 100}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
11,climate_sentiment,0,0,0.4,0.2274794388001935,0.0,100,"{""neutral"": 6, ""opportunity"": 1, ""risk"": 93}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
12,cola,0,0,0.32,0.2706992706992707,0.0,100,"{""acceptable"": 6, ""unacceptable"": 94}","{""acceptable"": 68, ""unacceptable"": 32}"
13,copa,0,0,0.52,0.34210526315789475,0.0,100,"{""cause"": 100}","{""cause"": 52, ""effect"": 48}"
14,covid_fake_news,0,0,0.46,0.3795955882352941,0.0,100,"{""fake"": 93, ""real"": 7}","{""fake"": 43, ""real"": 57}"
15,dbpedia_14,0,0,0.59,0.5885866547575969,0.0,100,"{""album"": 13, ""animal"": 5, ""artist"": 24, ""athlete"": 2, ""building"": 3, ""company"": 21, ""educational institution"": 4, ""film"": 10, ""natural place"": 3, ""plant"": 8, ""village"": 5, ""written work"": 2}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
16,disaster_response_message,0,0,0.49,0.4188034188034188,0.0,100,"{""false"": 49, ""true"": 51}","{""false"": 16, ""true"": 84}"
17,emo,0,0,0.05,0.047449362340585145,0.0,100,"{""happy"": 59, ""sad"": 41}","{""angry"": 5, ""happy"": 3, ""others"": 90, ""sad"": 2}"
18,emotion,0,0,0.19,0.12904040404040404,0.0,100,"{""anger"": 87, ""fear"": 3, ""joy"": 6, ""love"": 2, ""sadness"": 2}","{""anger"": 12, ""fear"": 12, ""joy"": 38, ""love"": 12, ""sadness"": 22, ""surprise"": 4}"
19,environmental_claims,0,0,0.36,0.36,0.0,100,"{""no"": 24, ""yes"": 76}","{""no"": 76, ""yes"": 24}"
20,ethos,0,0,0.55,0.48717948717948717,0.0,100,"{""hate speech"": 87, ""no hate speech"": 13}","{""hate speech"": 48, ""no hate speech"": 52}"
21,fever,0,0,0.28,0.14583333333333334,0.0,100,"{""not enough info"": 100}","{""not enough info"": 28, ""refuted"": 28, ""supported"": 44}"
22,financial_phrasebank,0,0,0.28,0.21935278176311176,0.0,100,"{""negative"": 4, ""positive"": 96}","{""negative"": 13, ""neutral"": 60, ""positive"": 27}"
23,hate_speech18,0,0,0.71,0.5191510528933843,0.0,100,"{""hate"": 31, ""no hate"": 69}","{""hate"": 6, ""no hate"": 94}"
24,health_fact,0,0,0.24,0.10921052631578947,0.0,100,"{""false"": 90, ""true"": 4, ""unproven"": 6}","{""false"": 24, ""mixture"": 17, ""true"": 56, ""unproven"": 3}"
25,i2d2,0,0,0.59,0.4969942338363391,0.0,100,"{""false"": 18, ""true"": 82}","{""false"": 39, ""true"": 61}"
26,imdb,0,0,0.85,0.8498648783905515,0.0,100,"{""negative"": 44, ""positive"": 56}","{""negative"": 53, ""positive"": 47}"
27,insincere_questions,0,0,0.13,0.12921629466519868,0.0,100,"{""insincere question"": 92, ""valid question"": 8}","{""insincere question"": 5, ""valid question"": 95}"
28,is_humor,0,0,0.58,0.5320855614973261,0.0,100,"{""humorous"": 61, ""not humorous"": 39}","{""humorous"": 71, ""not humorous"": 29}"
29,jailbreak_classification,0,0,0.42,0.41976790716286516,0.0,100,"{""benign"": 46, ""jailbreak"": 54}","{""benign"": 52, ""jailbreak"": 48}"
30,lexical_rc_cogalexv,0,0,0.4,0.1756812293397659,0.0,100,"{""hypernym"": 33, ""synonym"": 11, ""unrelated"": 56}","{""antonym"": 11, ""hypernym"": 6, ""meronym"": 6, ""synonym"": 10, ""unrelated"": 67}"
31,lexical_rc_root09,0,0,0.24,0.2023391812865497,0.0,100,"{""co-hyponym"": 4, ""hypernym"": 80, ""unrelated"": 16}","{""co-hyponym"": 26, ""hypernym"": 15, ""unrelated"": 59}"
32,liar,0,0,0.22,0.10936877737953006,0.0,100,"{""false"": 85, ""half true"": 1, ""mostly true"": 2, ""true"": 12}","{""barely true"": 20, ""false"": 23, ""half true"": 12, ""mostly true"": 22, ""pants fire"": 4, ""true"": 19}"
33,limit,0,0,0.68,0.4330262225372077,0.0,100,"{""no"": 7, ""yes"": 93}","{""no"": 27, ""yes"": 73}"
34,logical_fallacy_detection,0,0,0.53,0.4986666666666667,0.0,100,"{""invalid"": 65, ""valid"": 35}","{""invalid"": 60, ""valid"": 40}"
35,metaphor_boolean,0,0,0.47,0.3749262884774148,0.0,100,"{""false"": 9, ""true"": 91}","{""false"": 52, ""true"": 48}"
36,mrpc,0,0,0.32,0.24242424242424243,0.0,100,"{""not equivalent"": 100}","{""equivalent"": 68, ""not equivalent"": 32}"
37,news_data,0,0,0.66,0.5474669268456446,0.0,100,"{""business"": 21, ""entertainment"": 1, ""health"": 8, ""politics"": 9, ""sports"": 59, ""tech"": 2}","{""business"": 30, ""entertainment"": 3, ""health"": 13, ""politics"": 19, ""sports"": 30, ""tech"": 5}"
38,poem_sentiment,0,0,0.47,0.24680603948896632,0.0,100,"{""no impact"": 74, ""positive"": 26}","{""negative"": 19, ""no impact"": 66, ""positive"": 15}"
39,pragmeval_emergent,0,0,0.52,0.2280701754385965,0.0,100,"{""for"": 100}","{""against"": 14, ""for"": 52, ""observing"": 34}"
40,pragmeval_sarcasm,0,0,0.54,0.3695175438596491,0.0,100,"{""not sarcasm"": 11, ""sarcasm"": 89}","{""not sarcasm"": 37, ""sarcasm"": 63}"
41,pragmeval_verifiability,0,0,0.74,0.2835249042145594,0.0,100,"{""non-experiential"": 1, ""unverifiable"": 99}","{""experiential"": 15, ""non-experiential"": 10, ""unverifiable"": 75}"
42,prosocial_dialog,0,0,0.19,0.11494036061026351,0.0,100,"{""casual"": 7, ""caution needed"": 5, ""probably caution needed"": 88}","{""casual"": 18, ""caution needed"": 37, ""intervention needed"": 18, ""possibly caution needed"": 12, ""probably caution needed"": 15}"
43,pun_detection,0,0,0.61,0.4017487344684768,0.0,100,"{""no"": 2, ""yes"": 98}","{""no"": 39, ""yes"": 61}"
44,qqp,0,0,0.7,0.4117647058823529,0.0,100,"{""not duplicate"": 100}","{""duplicate"": 30, ""not duplicate"": 70}"
45,rotten_tomatoes,0,0,0.78,0.7785829307568438,0.0,100,"{""negative"": 41, ""positive"": 59}","{""negative"": 51, ""positive"": 49}"
46,semeval_absa_laptop,0,0,0.51,0.3429214929214929,0.0,100,"{""conflict"": 2, ""negative"": 46, ""neutral"": 15, ""positive"": 37}","{""conflict"": 4, ""negative"": 24, ""neutral"": 22, ""positive"": 50}"
47,semeval_absa_restaurant,0,0,0.63,0.31534391534391537,0.0,100,"{""negative"": 30, ""neutral"": 9, ""positive"": 61}","{""conflict"": 1, ""negative"": 12, ""neutral"": 13, ""positive"": 74}"
48,senteval_cr,0,0,0.62,0.49333333333333335,0.0,100,"{""negative"": 6, ""positive"": 94}","{""negative"": 44, ""positive"": 56}"
49,senteval_subj,0,0,0.47,0.3749262884774148,0.0,100,"{""objective"": 4, ""subjective"": 96}","{""objective"": 57, ""subjective"": 43}"
50,silicone_dyda_da,0,0,0.3,0.19388224255219327,0.0,100,"{""commissive"": 8, ""directive"": 33, ""inform"": 2, ""question"": 57}","{""commissive"": 6, ""directive"": 17, ""inform"": 47, ""question"": 30}"
51,sms_spam,0,0,0.15,0.14923431087979183,0.0,100,"{""ham"": 7, ""spam"": 93}","{""ham"": 90, ""spam"": 10}"
52,sst2,0,0,0.79,0.7874278773155178,0.0,100,"{""negative"": 46, ""positive"": 54}","{""negative"": 43, ""positive"": 57}"
53,sst5,0,0,0.22,0.1659835989016121,0.0,100,"{""negative"": 22, ""positive"": 26, ""very negative"": 52}","{""extremely positive"": 18, ""negative"": 29, ""neutral"": 17, ""positive"": 21, ""very negative"": 15}"
54,student_question_categories,0,0,0.72,0.6967288717288718,0.0,100,"{""biology"": 19, ""chemistry"": 16, ""maths"": 42, ""physics"": 23}","{""biology"": 9, ""chemistry"": 19, ""maths"": 32, ""physics"": 40}"
55,tcfd_recommendations,0,0,0.23,0.2064773714742009,0.0,100,"{""governance"": 11, ""none"": 66, ""risk"": 13, ""strategy"": 10}","{""governance"": 8, ""metrics"": 14, ""none"": 17, ""risk"": 14, ""strategy"": 47}"
56,this_is_not_a_dataset,0,0,0.47,0.468671679197995,0.0,100,"{""false"": 49, ""true"": 51}","{""false"": 46, ""true"": 54}"
