,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,0,0.51,0.4671513269339356,0.0,100,"{""Business"": 28, ""Sports"": 6, ""Technology"": 4, ""World"": 62}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,amazon_counterfactual_en,0,0,0.29,0.2777947309531075,0.0,100,"{""counterfactual"": 77, ""not counterfactual"": 23}","{""counterfactual"": 10, ""not counterfactual"": 90}"
2,amazon_massive_scenario,0,0,0.28,0.22331865382971408,0.0,100,"{""alarm"": 1, ""audio"": 2, ""calendar"": 2, ""cooking"": 3, ""email"": 8, ""iot"": 40, ""music"": 8, ""news"": 15, ""play"": 3, ""qa"": 2, ""weather"": 16}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
3,app_reviews,0,0,0.54,0.2021705426356589,0.0,100,"{""five"": 70, ""one"": 30}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
4,beaver_tails,0,0,0.46,0.4565217391304348,0.0,100,"{""no"": 28, ""yes"": 72}","{""no"": 64, ""yes"": 36}"
5,boolq,0,0,0.58,0.38811188811188807,0.0,100,"{""no"": 2, ""yes"": 98}","{""no"": 42, ""yes"": 58}"
6,brag_action,0,0,0.36,0.2967032967032967,0.0,100,"{""bragging"": 67, ""not bragging"": 33}","{""bragging"": 3, ""not bragging"": 97}"
7,circa,0,0,0.69,0.5555555555555556,0.0,100,"{""no"": 14, ""yes"": 86}","{""no"": 31, ""yes"": 69}"
8,clickbait,0,0,0.71,0.7099709970997099,0.0,100,"{""no"": 60, ""yes"": 40}","{""no"": 41, ""yes"": 59}"
9,climate_commitments_actions,0,0,0.64,0.4375,0.0,100,"{""no"": 96, ""yes"": 4}","{""no"": 64, ""yes"": 36}"
10,climate_fever,0,0,0.37,0.2130252100840336,0.0,100,"{""not enough info"": 86, ""refuted"": 12, ""supported"": 2}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
11,climate_sentiment,0,0,0.36,0.18851049191606464,0.0,100,"{""neutral"": 4, ""risk"": 96}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
12,cola,0,0,0.35,0.32001255361439485,0.0,100,"{""acceptable"": 11, ""unacceptable"": 89}","{""acceptable"": 68, ""unacceptable"": 32}"
13,copa,0,0,0.52,0.34210526315789475,0.0,100,"{""cause"": 100}","{""cause"": 52, ""effect"": 48}"
14,covid_fake_news,0,0,0.45,0.36276213648476424,0.0,100,"{""fake"": 94, ""real"": 6}","{""fake"": 43, ""real"": 57}"
15,dbpedia_14,0,0,0.47,0.4172519007603041,0.0,100,"{""album"": 36, ""animal"": 3, ""artist"": 8, ""athlete"": 1, ""company"": 21, ""educational institution"": 9, ""film"": 10, ""office holder"": 1, ""plant"": 7, ""village"": 3, ""written work"": 1}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
16,disaster_response_message,0,0,0.28,0.28,0.0,100,"{""false"": 84, ""true"": 16}","{""false"": 16, ""true"": 84}"
