,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,8,0.42,0.3452266152362584,0.0,100,"{""Business"": 29, ""Sports"": 8, ""World"": 63}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,ag_news,1,8,0.45,0.3719608879492601,0.0,100,"{""Business"": 34, ""Sports"": 16, ""World"": 50}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
2,ag_news,2,8,0.42,0.3487938596491228,0.0,100,"{""Business"": 16, ""Sports"": 11, ""World"": 73}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
3,ag_news,3,8,0.31,0.24441301036208715,0.0,100,"{""Business"": 9, ""Sports"": 20, ""World"": 71}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
4,ag_news,4,8,0.44,0.34164818920916484,0.0,100,"{""Business"": 34, ""Sports"": 6, ""World"": 60}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
5,amazon_counterfactual_en,0,8,0.29,0.2688703532077026,0.0,100,"{""counterfactual"": 73, ""not counterfactual"": 27}","{""counterfactual"": 10, ""not counterfactual"": 90}"
6,amazon_counterfactual_en,1,8,0.62,0.4273658830620856,0.0,100,"{""counterfactual"": 32, ""not counterfactual"": 68}","{""counterfactual"": 10, ""not counterfactual"": 90}"
7,amazon_counterfactual_en,2,8,0.18,0.179671868747499,0.0,100,"{""counterfactual"": 88, ""not counterfactual"": 12}","{""counterfactual"": 10, ""not counterfactual"": 90}"
8,amazon_counterfactual_en,3,8,0.79,0.48415622697126015,0.0,100,"{""counterfactual"": 13, ""not counterfactual"": 87}","{""counterfactual"": 10, ""not counterfactual"": 90}"
9,amazon_counterfactual_en,4,8,0.84,0.5115995115995116,0.0,100,"{""counterfactual"": 8, ""not counterfactual"": 92}","{""counterfactual"": 10, ""not counterfactual"": 90}"
10,amazon_massive_scenario,0,8,0.08,0.0596367758132464,0.0,100,"{""email"": 2, ""iot"": 2, ""music"": 14, ""news"": 8, ""play"": 1, ""social"": 73}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
11,amazon_massive_scenario,1,8,0.14,0.1065993265993266,0.0,100,"{""cooking"": 71, ""email"": 6, ""iot"": 2, ""music"": 10, ""news"": 8, ""social"": 2, ""weather"": 1}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
12,amazon_massive_scenario,2,8,0.18,0.11252605419272085,0.0,100,"{""alarm"": 1, ""cooking"": 59, ""email"": 10, ""iot"": 1, ""music"": 10, ""news"": 5, ""social"": 14}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
13,amazon_massive_scenario,3,8,0.03,0.004975124378109453,0.0,100,"{""music"": 35, ""recommendation"": 64, ""social"": 1}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
14,amazon_massive_scenario,4,8,0.18,0.07488425925925925,0.0,100,"{""email"": 16, ""iot"": 7, ""lists"": 59, ""music"": 15, ""news"": 3}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
15,app_reviews,0,8,0.13,0.073015873015873,0.0,100,"{""four"": 87, ""one"": 13}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
16,app_reviews,1,8,0.04,0.04539270253555967,0.0,100,"{""four"": 9, ""one"": 12, ""three"": 32, ""two"": 47}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
17,app_reviews,2,8,0.55,0.14666666666666667,0.0,100,"{""five"": 91, ""four"": 1, ""one"": 8}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
18,app_reviews,3,8,0.15,0.05217391304347826,0.0,100,"{""one"": 100}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
19,app_reviews,4,8,0.12,0.06075949367088608,0.0,100,"{""one"": 64, ""two"": 36}","{""five"": 59, ""four"": 12, ""one"": 15, ""three"": 12, ""two"": 2}"
20,beaver_tails,0,8,0.53,0.5295766189570613,0.0,100,"{""no"": 39, ""yes"": 61}","{""no"": 64, ""yes"": 36}"
21,beaver_tails,1,8,0.56,0.46576007770762506,0.0,100,"{""no"": 78, ""yes"": 22}","{""no"": 64, ""yes"": 36}"
22,beaver_tails,2,8,0.56,0.47619047619047616,0.0,100,"{""no"": 76, ""yes"": 24}","{""no"": 64, ""yes"": 36}"
23,beaver_tails,3,8,0.43,0.42719324690985827,0.0,100,"{""no"": 29, ""yes"": 71}","{""no"": 64, ""yes"": 36}"
24,beaver_tails,4,8,0.57,0.5242836596968692,0.0,100,"{""no"": 67, ""yes"": 33}","{""no"": 64, ""yes"": 36}"
25,boolq,0,8,0.45,0.4472917294744247,0.0,100,"{""no"": 65, ""yes"": 35}","{""no"": 42, ""yes"": 58}"
26,boolq,1,8,0.6,0.5659722222222222,0.0,100,"{""no"": 30, ""yes"": 70}","{""no"": 42, ""yes"": 58}"
27,boolq,2,8,0.53,0.5160127690248172,0.0,100,"{""no"": 41, ""yes"": 59}","{""no"": 42, ""yes"": 58}"
28,boolq,3,8,0.59,0.5464100011063171,0.0,100,"{""no"": 27, ""yes"": 73}","{""no"": 42, ""yes"": 58}"
29,boolq,4,8,0.47,0.46952257031328193,0.0,100,"{""no"": 55, ""yes"": 45}","{""no"": 42, ""yes"": 58}"
30,brag_action,0,8,0.97,0.49238578680203043,0.0,100,"{""not bragging"": 100}","{""bragging"": 3, ""not bragging"": 97}"
31,brag_action,1,8,0.97,0.49238578680203043,0.0,100,"{""not bragging"": 100}","{""bragging"": 3, ""not bragging"": 97}"
32,brag_action,2,8,0.97,0.49238578680203043,0.0,100,"{""not bragging"": 100}","{""bragging"": 3, ""not bragging"": 97}"
33,brag_action,3,8,0.93,0.48186528497409326,0.0,100,"{""bragging"": 4, ""not bragging"": 96}","{""bragging"": 3, ""not bragging"": 97}"
34,brag_action,4,8,0.96,0.4897959183673469,0.0,100,"{""bragging"": 1, ""not bragging"": 99}","{""bragging"": 3, ""not bragging"": 97}"
35,circa,0,8,0.35,0.3256561884012864,0.0,100,"{""no"": 88, ""yes"": 12}","{""no"": 31, ""yes"": 69}"
36,circa,1,8,0.31,0.2366412213740458,0.0,100,"{""no"": 100}","{""no"": 31, ""yes"": 69}"
37,circa,2,8,0.31,0.2841581076875195,0.0,100,"{""no"": 88, ""yes"": 12}","{""no"": 31, ""yes"": 69}"
38,circa,3,8,0.31,0.2366412213740458,0.0,100,"{""no"": 100}","{""no"": 31, ""yes"": 69}"
39,circa,4,8,0.38,0.37094155844155846,0.0,100,"{""no"": 81, ""yes"": 19}","{""no"": 31, ""yes"": 69}"
40,clickbait,0,8,0.5,0.46374946374946374,0.0,100,"{""no"": 85, ""yes"": 15}","{""no"": 41, ""yes"": 59}"
41,clickbait,1,8,0.78,0.7549019607843137,0.0,100,"{""no"": 27, ""yes"": 73}","{""no"": 41, ""yes"": 59}"
42,clickbait,2,8,0.43,0.32775091402288004,0.0,100,"{""no"": 98, ""yes"": 2}","{""no"": 41, ""yes"": 59}"
43,clickbait,3,8,0.64,0.6363636363636364,0.0,100,"{""no"": 69, ""yes"": 31}","{""no"": 41, ""yes"": 59}"
