,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,8,0.72,0.7001373056167576,0.0,100,"{""Business"": 41, ""Sports"": 28, ""Technology"": 20, ""World"": 11}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,ag_news,1,8,0.75,0.7254728113280745,0.0,100,"{""Business"": 44, ""Sports"": 28, ""Technology"": 18, ""World"": 10}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
2,ag_news,2,8,0.75,0.7353714741710637,0.0,100,"{""Business"": 36, ""Sports"": 29, ""Technology"": 24, ""World"": 11}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
3,ag_news,3,8,0.69,0.676733193277311,0.0,100,"{""Business"": 36, ""Sports"": 29, ""Technology"": 25, ""World"": 10}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
4,ag_news,4,8,0.76,0.7495977659356425,0.0,100,"{""Business"": 36, ""Sports"": 29, ""Technology"": 22, ""World"": 13}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
5,amazon_counterfactual_en,0,8,0.72,0.4186046511627907,0.0,100,"{""counterfactual"": 18, ""not counterfactual"": 82}","{""counterfactual"": 10, ""not counterfactual"": 90}"
6,amazon_counterfactual_en,1,8,0.84,0.45652173913043476,0.0,100,"{""counterfactual"": 6, ""not counterfactual"": 94}","{""counterfactual"": 10, ""not counterfactual"": 90}"
7,amazon_counterfactual_en,2,8,0.72,0.4186046511627907,0.0,100,"{""counterfactual"": 18, ""not counterfactual"": 82}","{""counterfactual"": 10, ""not counterfactual"": 90}"
8,amazon_counterfactual_en,3,8,0.9,0.47368421052631576,0.0,100,"{""not counterfactual"": 100}","{""counterfactual"": 10, ""not counterfactual"": 90}"
9,amazon_counterfactual_en,4,8,0.9,0.47368421052631576,0.0,100,"{""not counterfactual"": 100}","{""counterfactual"": 10, ""not counterfactual"": 90}"
10,amazon_massive_scenario,0,8,0.29,0.2281654412606794,0.0,100,"{""alarm"": 4, ""calendar"": 11, ""email"": 6, ""music"": 48, ""news"": 3, ""play"": 24, ""weather"": 4}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
11,amazon_massive_scenario,1,8,0.31,0.27950086866293794,0.0,100,"{""alarm"": 4, ""audio"": 1, ""calendar"": 38, ""email"": 5, ""general"": 3, ""music"": 22, ""news"": 3, ""play"": 11, ""social"": 7, ""transport"": 3, ""weather"": 3}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
12,amazon_massive_scenario,2,8,0.18,0.22836700336700336,0.0,100,"{""audio"": 2, ""calendar"": 55, ""email"": 1, ""music"": 32, ""news"": 3, ""social"": 1, ""transport"": 3, ""weather"": 3}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
13,amazon_massive_scenario,3,8,0.13,0.15011204481792717,0.0,100,"{""alarm"": 2, ""audio"": 1, ""calendar"": 12, ""email"": 1, ""music"": 74, ""news"": 3, ""play"": 1, ""recommendation"": 5, ""weather"": 1}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
14,amazon_massive_scenario,4,8,0.26,0.2492641676784899,0.0,100,"{""alarm"": 6, ""audio"": 5, ""calendar"": 41, ""email"": 1, ""music"": 33, ""news"": 2, ""play"": 7, ""recommendation"": 1, ""transport"": 1, ""weather"": 3}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
