,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
0,ag_news,0,8,0.23,0.10672268907563026,0.0,100,"{""Business"": 3, ""World"": 97}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
1,ag_news,1,8,0.33,0.22656857661394866,0.0,100,"{""Business"": 26, ""Sports"": 1, ""World"": 73}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
2,ag_news,2,8,0.29,0.2189039408866995,0.0,100,"{""Technology"": 10, ""World"": 90}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
3,ag_news,3,8,0.25,0.13430127041742285,0.0,100,"{""Business"": 6, ""World"": 94}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
4,ag_news,4,8,0.22,0.09016393442622951,0.0,100,"{""World"": 100}","{""Business"": 32, ""Sports"": 27, ""Technology"": 19, ""World"": 22}"
5,amazon_counterfactual_en,0,8,0.4,0.3633276740237691,0.0,100,"{""counterfactual"": 66, ""not counterfactual"": 34}","{""counterfactual"": 10, ""not counterfactual"": 90}"
6,amazon_counterfactual_en,1,8,0.68,0.48018193632228723,0.0,100,"{""counterfactual"": 28, ""not counterfactual"": 72}","{""counterfactual"": 10, ""not counterfactual"": 90}"
7,amazon_counterfactual_en,2,8,0.75,0.4958661020367009,0.0,100,"{""counterfactual"": 19, ""not counterfactual"": 81}","{""counterfactual"": 10, ""not counterfactual"": 90}"
8,amazon_counterfactual_en,3,8,0.9,0.47368421052631576,0.0,100,"{""not counterfactual"": 100}","{""counterfactual"": 10, ""not counterfactual"": 90}"
9,amazon_counterfactual_en,4,8,0.9,0.47368421052631576,0.0,100,"{""not counterfactual"": 100}","{""counterfactual"": 10, ""not counterfactual"": 90}"
10,amazon_massive_scenario,0,8,0.03,0.012216119276783918,0.0,100,"{""iot"": 3, ""music"": 70, ""play"": 1, ""takeaway"": 26}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
11,amazon_massive_scenario,1,8,0.01,0.0011001100110011,0.0,100,"{""music"": 100}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
12,amazon_massive_scenario,2,8,0.01,0.0011001100110011,0.0,100,"{""music"": 100}","{""alarm"": 5, ""audio"": 3, ""calendar"": 5, ""cooking"": 4, ""datetime"": 6, ""email"": 14, ""general"": 7, ""iot"": 6, ""lists"": 5, ""music"": 1, ""news"": 3, ""play"": 16, ""qa"": 8, ""recommendation"": 3, ""social"": 1, ""takeaway"": 1, ""transport"": 5, ""weather"": 7}"
